Date,Price,Open,High,Low,Vol.,Change %
11/12/2013,4263.78,4289.02,4297.94,4263.78,68.90M,-0.61%
11/11/2013,4290.14,4262.80,4296.02,4253.47,56.97M,0.70%
11/08/2013,4260.44,4254.30,4267.75,4211.82,108.45M,-0.48%
11/07/2013,4280.99,4282.98,4356.28,4269.29,150.59M,-0.14%
11/06/2013,4286.93,4265.43,4299.87,4265.51,85.65M,0.79%
11/05/2013,4253.34,4296.56,4296.95,4232.96,103.98M,-0.82%
11/04/2013,4288.59,4284.83,4296.07,4276.81,60.40M,0.36%
11/01/2013,4273.19,4302.03,4305.26,4266.97,55.27M,-0.62%
10/31/2013,4299.89,4260.80,4303.82,4254.89,94.12M,0.60%
10/30/2013,4274.11,4272.55,4309.92,4264.58,79.79M,-0.09%
10/29/2013,4278.09,4241.82,4281.47,4243.29,80.23M,0.62%
10/28/2013,4251.61,4287.89,4288.86,4236.03,76.90M,-0.48%
10/25/2013,4272.31,4248.73,4279.77,4242.22,85.49M,-0.08%
10/24/2013,4275.69,4271.51,4281.03,4259.84,81.35M,0.35%
10/23/2013,4260.66,4272.25,4274.76,4249.61,111.61M,-0.81%
10/22/2013,4295.43,4266.02,4309.15,4263.23,98.59M,0.43%
10/21/2013,4276.92,4285.71,4286.15,4267.54,76.39M,-0.21%
10/18/2013,4286.03,4259.81,4286.03,4246.89,97.86M,1.09%
10/17/2013,4239.64,4233.88,4242.41,4204.74,93.45M,-0.10%
10/16/2013,4243.72,4230.52,4247.54,4213.40,103.29M,-0.29%
10/15/2013,4256.02,4239.21,4261.74,4232.13,89.15M,0.78%
10/14/2013,4222.96,4206.10,4222.96,4192.59,68.35M,0.07%
10/11/2013,4219.98,4227.31,4227.54,4209.12,82.96M,0.04%
10/10/2013,4218.11,4156.42,4220.62,4148.42,112.91M,2.21%
10/09/2013,4127.05,4127.42,4162.25,4113.68,100.96M,-0.16%
10/08/2013,4133.53,4160.88,4172.18,4133.19,80.76M,-0.77%
10/07/2013,4165.58,4145.11,4165.58,4105.67,70.43M,0.03%
10/04/2013,4164.25,4127.34,4176.26,4124.67,73.01M,0.88%
10/03/2013,4127.98,4158.93,4166.92,4124.83,70.16M,-0.73%
10/02/2013,4158.16,4177.62,4180.79,4136.79,86.63M,-0.92%
10/01/2013,4196.60,4151.92,4196.60,4150.04,81.35M,1.28%
09/30/2013,4143.44,4141.55,4150.44,4120.24,90.78M,-1.03%
09/27/2013,4186.77,4193.17,4201.21,4163.70,74.91M,0.00%
09/26/2013,4186.72,4199.02,4202.40,4170.67,84.54M,-0.21%
09/25/2013,4195.35,4185.20,4202.54,4171.88,82.55M,-0.01%
09/24/2013,4195.61,4174.86,4206.30,4174.26,83.36M,0.56%
09/23/2013,4172.08,4207.18,4216.92,4162.84,87.03M,-0.75%
09/20/2013,4203.66,4194.94,4219.90,4193.92,199.05M,-0.06%
09/19/2013,4206.04,4228.00,4227.21,4188.73,121.74M,0.85%
09/18/2013,4170.40,4147.46,4170.40,4134.44,78.45M,0.60%
09/17/2013,4145.51,4142.23,4155.85,4131.22,79.84M,-0.16%
09/16/2013,4152.22,4154.19,4162.67,4138.34,92.10M,0.92%
09/13/2013,4114.50,4101.67,4117.38,4095.73,80.93M,0.19%
09/12/2013,4106.63,4117.64,4121.32,4095.21,115.34M,-0.30%
09/11/2013,4119.11,4107.29,4122.53,4100.89,94.46M,0.06%
09/10/2013,4116.64,4071.03,4119.98,4067.16,113.48M,1.89%
09/09/2013,4040.33,4046.26,4047.94,4022.81,76.42M,-0.22%
09/06/2013,4049.19,4000.54,4049.19,3985.77,111.74M,1.06%
09/05/2013,4006.80,3986.47,4009.59,3968.18,103.93M,0.66%
09/04/2013,3980.42,3981.88,3987.88,3927.63,83.84M,0.16%
09/03/2013,3974.07,4015.00,4010.88,3951.32,93.60M,-0.80%
09/02/2013,4006.01,3974.79,4014.50,3975.25,67.42M,1.84%
08/30/2013,3933.78,3986.23,3988.93,3933.78,93.76M,-1.32%
08/29/2013,3986.35,3980.60,3990.27,3950.74,81.77M,0.65%
08/28/2013,3960.46,3955.42,3976.11,3934.79,110.50M,-0.21%
08/27/2013,3968.73,4049.13,4062.48,3968.73,108.20M,-2.42%
08/26/2013,4067.13,4072.78,4072.12,4037.97,36.47M,-0.06%
08/23/2013,4069.47,4058.70,4073.82,4025.56,60.98M,0.25%
08/22/2013,4059.12,4018.25,4071.73,4019.75,78.64M,1.10%
08/21/2013,4015.09,4042.44,4048.30,4015.03,67.32M,-0.34%
08/20/2013,4028.93,4067.21,4067.90,4005.47,99.06M,-1.35%
08/19/2013,4083.98,4122.38,4122.14,4080.66,63.66M,-0.97%
08/16/2013,4123.89,4092.77,4123.89,4077.52,81.79M,0.75%
08/15/2013,4093.20,4108.93,4111.64,4055.30,67.11M,-0.51%
08/14/2013,4114.20,4099.33,4122.16,4091.58,72.40M,0.53%
08/13/2013,4092.50,4081.58,4092.50,4075.45,73.46M,0.51%
08/12/2013,4071.68,4080.97,4088.64,4048.62,71.80M,-0.12%
08/09/2013,4076.55,4073.77,4087.73,4049.87,87.49M,0.30%
08/08/2013,4064.32,4046.44,4069.72,4032.99,81.53M,0.64%
08/07/2013,4038.49,4024.64,4043.55,4010.63,84.15M,0.15%
08/06/2013,4032.57,4050.97,4064.98,4013.96,102.02M,-0.43%
08/05/2013,4049.97,4049.16,4062.78,4040.34,75.31M,0.11%
08/02/2013,4045.65,4059.24,4059.62,4027.76,90.97M,0.07%
08/01/2013,4042.73,3996.81,4044.50,3993.75,133.96M,1.25%
07/31/2013,3992.69,3975.42,4007.23,3965.03,98.22M,0.15%
07/30/2013,3986.61,3983.88,3998.16,3966.03,79.14M,0.45%
07/29/2013,3968.91,3987.04,3997.86,3962.43,89.54M,0.00%
07/26/2013,3968.84,3979.95,4002.35,3960.52,93.85M,0.32%
07/25/2013,3956.02,3961.78,3967.58,3920.17,101.23M,-0.17%
07/24/2013,3962.75,3931.24,3976.50,3932.28,101.85M,1.01%
07/23/2013,3923.09,3952.55,3955.55,3923.09,93.65M,-0.43%
07/22/2013,3939.92,3929.19,3945.98,3915.81,67.87M,0.37%
07/19/2013,3925.32,3914.76,3925.32,3900.10,89.22M,-0.06%
07/18/2013,3927.79,3864.06,3927.79,3858.57,91.19M,1.44%
07/17/2013,3872.02,3858.53,3883.09,3821.55,76.43M,0.55%
07/16/2013,3851.03,3883.47,3884.64,3846.82,65.50M,-0.71%
07/15/2013,3878.58,3867.08,3893.26,3862.84,56.00M,0.61%
07/12/2013,3855.09,3878.62,3886.08,3844.88,72.64M,-0.36%
07/11/2013,3868.98,3885.44,3888.19,3855.05,92.62M,0.74%
07/10/2013,3840.53,3841.04,3855.19,3812.03,73.31M,-0.08%
07/09/2013,3843.56,3840.66,3858.54,3832.16,89.88M,0.52%
07/08/2013,3823.83,3782.12,3842.51,3781.51,76.40M,1.86%
07/05/2013,3753.85,3811.17,3837.39,3753.85,98.16M,-1.46%
07/04/2013,3809.31,3733.78,3809.82,3722.79,111.23M,2.90%
07/03/2013,3702.01,3708.29,3708.91,3668.77,105.05M,-1.08%
07/02/2013,3742.57,3776.20,3776.41,3731.03,77.20M,-0.66%
07/01/2013,3767.48,3761.57,3786.41,3724.53,88.61M,0.76%
06/28/2013,3738.91,3767.49,3775.34,3723.66,118.74M,-0.62%
06/27/2013,3762.19,3722.41,3780.56,3704.18,97.42M,0.97%
06/26/2013,3726.04,3655.39,3730.69,3637.73,109.06M,2.09%
06/25/2013,3649.82,3642.57,3655.62,3618.58,105.24M,1.51%
06/24/2013,3595.63,3652.52,3668.11,3575.17,133.73M,-1.71%
06/21/2013,3658.04,3718.93,3744.25,3658.04,170.44M,-1.11%
06/20/2013,3698.93,3778.33,3783.20,3696.45,143.40M,-3.66%
06/19/2013,3839.34,3866.15,3868.40,3823.65,84.86M,-0.55%
06/18/2013,3860.55,3848.98,3870.87,3837.04,75.69M,-0.08%
06/17/2013,3863.66,3815.44,3882.88,3814.61,88.90M,1.54%
06/14/2013,3805.16,3823.20,3830.69,3793.50,77.73M,0.19%
06/13/2013,3797.98,3747.65,3804.25,3731.84,104.04M,0.11%
06/12/2013,3793.70,3805.15,3835.49,3791.71,82.90M,-0.44%
06/11/2013,3810.56,3850.07,3849.36,3780.39,106.95M,-1.39%
06/10/2013,3864.36,3864.08,3884.64,3853.88,67.89M,-0.21%
06/07/2013,3872.59,3821.07,3889.55,3800.85,102.23M,1.53%
06/06/2013,3814.28,3861.24,3877.96,3814.28,92.67M,-0.99%
06/05/2013,3852.44,3903.59,3915.71,3852.44,98.55M,-1.87%
06/04/2013,3925.83,3950.00,3962.42,3919.67,75.28M,0.13%
