Date,Price,Open,High,Low,Vol.,Change %
04/19/2021,15368.39,15496.87,15501.84,15368.14,61.84M,-0.59%
04/16/2021,15459.75,15277.85,15473.83,15274.22,82.76M,1.34%
04/15/2021,15255.33,15238.63,15271.69,15227.63,61.83M,0.30%
04/14/2021,15209.15,15253.59,15255.92,15191.51,66.67M,-0.17%
04/13/2021,15234.36,15244.62,15281.65,15184.95,62.44M,0.13%
04/12/2021,15215.00,15238.85,15275.33,15212.24,53.65M,-0.13%
04/09/2021,15234.16,15198.14,15243.56,15157.21,56.87M,0.21%
04/08/2021,15202.68,15236.44,15247.78,15144.11,68.86M,0.17%
04/07/2021,15176.36,15221.23,15242.73,15160.28,59.12M,-0.24%
04/06/2021,15212.68,15289.97,15311.86,15209.90,79.48M,0.70%
04/01/2021,15107.17,15053.77,15110.92,15032.52,67.89M,0.66%
03/31/2021,15008.34,14982.12,15026.49,14973.59,76.06M,0.00%
03/30/2021,15008.61,14897.66,15029.70,14890.28,71.17M,1.29%
03/29/2021,14817.72,14809.80,14845.42,14756.04,71.11M,0.47%
03/26/2021,14748.94,14714.59,14776.32,14693.94,67.17M,0.87%
03/25/2021,14621.36,14550.40,14621.36,14422.65,80.10M,0.08%
03/24/2021,14610.39,14543.58,14619.04,14523.12,65.08M,-0.35%
03/23/2021,14662.02,14582.07,14707.37,14516.22,73.30M,0.03%
03/22/2021,14657.21,14551.17,14677.12,14539.27,66.13M,0.25%
03/19/2021,14621.00,14697.26,14747.56,14563.21,207.44M,-1.05%
03/18/2021,14775.52,14673.72,14804.01,14669.95,104.69M,1.23%
03/17/2021,14596.61,14565.29,14601.63,14539.70,75.96M,0.27%
03/16/2021,14557.58,14519.72,14601.79,14511.30,71.43M,0.66%
03/15/2021,14461.42,14504.49,14572.24,14409.35,62.77M,-0.28%
03/12/2021,14502.39,14492.45,14527.42,14450.72,69.10M,-0.46%
03/11/2021,14569.39,14553.54,14595.02,14515.07,74.07M,0.20%
03/10/2021,14540.25,14439.45,14560.97,14408.52,95.72M,0.71%
03/09/2021,14437.94,14345.51,14475.65,14309.35,107.88M,0.40%
03/08/2021,14380.91,14024.57,14402.92,13977.13,109.07M,3.31%
03/05/2021,13920.69,13958.54,14068.03,13868.20,89.79M,-0.97%
03/04/2021,14056.34,14015.44,14095.81,13959.27,84.62M,-0.17%
03/03/2021,14080.03,14130.86,14197.49,13979.73,84.77M,0.29%
03/02/2021,14039.80,13962.07,14101.79,13961.62,63.31M,0.19%
03/01/2021,14012.82,13962.43,14022.02,13873.83,69.57M,1.64%
02/26/2021,13786.29,13685.80,13881.26,13673.07,104.07M,-0.67%
02/25/2021,13879.33,14045.02,14051.01,13879.17,95.43M,-0.69%
02/24/2021,13976.00,13855.85,13998.30,13855.85,68.92M,0.80%
02/23/2021,13864.81,13984.98,13989.24,13664.71,88.20M,-0.61%
02/22/2021,13950.04,13858.56,13975.08,13802.55,66.04M,-0.31%
02/19/2021,13993.23,13941.40,14026.18,13892.72,72.97M,0.77%
02/18/2021,13886.93,13926.84,13961.05,13853.77,67.92M,-0.16%
02/17/2021,13909.27,14028.10,14036.95,13894.06,81.27M,-1.10%
02/16/2021,14064.60,14105.13,14130.74,14049.98,58.66M,-0.32%
02/15/2021,14109.48,14109.07,14131.21,14074.25,49.90M,0.42%
02/12/2021,14049.89,13976.13,14050.96,13916.73,57.70M,0.06%
02/11/2021,14040.91,13958.39,14053.06,13916.63,53.85M,0.77%
02/10/2021,13932.97,14063.12,14063.12,13830.12,67.41M,-0.56%
02/09/2021,14011.80,14055.60,14061.61,13962.14,58.42M,-0.34%
02/08/2021,14059.91,14156.84,14169.49,14056.55,61.53M,0.02%
02/05/2021,14056.72,14061.69,14114.44,14013.13,76.26M,-0.03%
02/04/2021,14060.29,13971.94,14069.89,13955.70,83.87M,0.91%
02/03/2021,13933.63,13986.72,13988.15,13866.39,82.15M,0.71%
02/02/2021,13835.16,13724.12,13844.94,13693.93,78.72M,1.56%
02/01/2021,13622.02,13559.94,13648.05,13518.45,65.32M,1.41%
01/29/2021,13432.87,13474.20,13593.03,13403.74,103.42M,-1.71%
01/28/2021,13665.93,13500.64,13698.54,13310.95,90.78M,0.33%
01/27/2021,13620.46,13827.47,13851.84,13475.03,105.22M,-1.81%
